gene,gene_id,importance,std
MAMDC2,ENSG00000165072.10,0.029950413026465783,0.1550580457824211
CD300LG,ENSG00000161649.13,0.028139252515293596,0.15355864370362288
SPRY2,ENSG00000136158.12,0.027673578167369015,0.1509321614280595
VEGFD,ENSG00000165197.5,0.022001987392187762,0.13134259821349958
BTNL9,ENSG00000165810.17,0.02019992836166722,0.12436955313438676
ITM2A,ENSG00000078596.11,0.019526947950040438,0.12504681851056
ADAMTS5,ENSG00000154736.6,0.01921745477600507,0.12674466561316142
ITIH5,ENSG00000123243.15,0.01907677942438193,0.12459198376453973
CAVIN2,ENSG00000168497.5,0.0181199703460201,0.12349952766957456
MMP11,ENSG00000099953.10,0.01780294598642972,0.11426408568905011
HOXA5,ENSG00000106004.5,0.017418640598779872,0.11753452508522602
COL10A1,ENSG00000123500.10,0.017062784014145363,0.11284639620922898
CAV1,ENSG00000105974.13,0.016804683561318767,0.11356041236889078
SCARA5,ENSG00000168079.17,0.016794612227787675,0.1184924896160873
MME,ENSG00000196549.12,0.016606205747121367,0.11693210460951517
FMO2,ENSG00000094963.14,0.01638839316967018,0.11146498236312546
LMOD1,ENSG00000163431.13,0.01618427898044056,0.11444667007340725
CA4,ENSG00000167434.10,0.015252135787034165,0.11097107638331305
MATN2,ENSG00000132561.14,0.015047804229788348,0.10915098548676956
HJURP,ENSG00000123485.12,0.014705539751592181,0.10730350081727033
CAV2,ENSG00000105971.15,0.014027868352786719,0.1023845199591822
PAMR1,ENSG00000149090.12,0.012545101984245847,0.09796326611070298
RERGL,ENSG00000111404.7,0.01251227864039219,0.09793625633136376
VIT,ENSG00000205221.12,0.012004048370414957,0.09661526088633599
ADRB2,ENSG00000169252.6,0.011946795038878175,0.09416676200775877
IBSP,ENSG00000029559.7,0.011545018789716859,0.09266964246521674
NEK2,ENSG00000117650.13,0.010999408254193349,0.09201933398946582
ENPP2,ENSG00000136960.13,0.010861830842399701,0.0911164076213687
APCDD1,ENSG00000154856.13,0.010552574217388982,0.0908414151411362
UBE2C,ENSG00000175063.17,0.010383607250430492,0.08780834566875485
DMD,ENSG00000198947.16,0.010244307835845226,0.08660686243114431
CHL1,ENSG00000134121.10,0.010179145372421339,0.09024868288480199
PLA2G4A,ENSG00000116711.10,0.010089942493263789,0.08884430957471383
ANXA1,ENSG00000135046.14,0.00939150520443557,0.08305819781678703
ASF1B,ENSG00000105011.9,0.009260128484925374,0.0825312318071389
S100B,ENSG00000160307.10,0.009224995530358118,0.08277039975227425
PKMYT1,ENSG00000127564.17,0.009043428412593289,0.08337150833839911
UBE2T,ENSG00000077152.11,0.008996972094200148,0.08124217527022216
TNS1,ENSG00000079308.19,0.008579572295460414,0.08103652510918116
HLF,ENSG00000108924.14,0.00848647987273183,0.08135476295941738
PALMD,ENSG00000099260.11,0.008254362555531365,0.07940903467416795
FGF2,ENSG00000138685.17,0.007835053749065334,0.07796702430913112
SH3BGRL2,ENSG00000198478.8,0.0076970639170876095,0.07421845726098497
SCN4B,ENSG00000177098.9,0.007564906812879137,0.07910483512047853
MYH11,ENSG00000133392.18,0.007501339649219203,0.07050791176043239
LIFR,ENSG00000113594.10,0.0072900634041591535,0.07419142519959851
RNF150,ENSG00000170153.11,0.007101852079238049,0.06909310281387421
GPIHBP1,ENSG00000277494.2,0.006753574040150841,0.07196565732995876
TSHZ2,ENSG00000182463.16,0.0067184637372396236,0.07002145181546089
KIF4A,ENSG00000090889.12,0.006686275829244785,0.07124407120882256
IQGAP3,ENSG00000183856.11,0.006583034482693385,0.07047784296225902
LEPR,ENSG00000116678.20,0.006373025169859172,0.07032820890564162
SPARCL1,ENSG00000152583.12,0.006236457086146502,0.06850934520790822
PLK1,ENSG00000166851.15,0.0061706223670394324,0.0686145139717607
IL33,ENSG00000137033.11,0.005757485638758476,0.0657881978464325
CEP55,ENSG00000138180.16,0.0055170628325715895,0.05907525985842286
NDC80,ENSG00000080986.13,0.005414328759636151,0.05972798294040145
CDCA8,ENSG00000134690.11,0.005359047180941808,0.05989875473838484
INHBA,ENSG00000122641.11,0.005293347423124382,0.04899146534092228
PTTG1,ENSG00000164611.13,0.005219798587467763,0.0639438673421045
IGFBP6,ENSG00000167779.9,0.005198114785703285,0.06267439498142338
MSRB3,ENSG00000174099.12,0.005127541219076805,0.05803618409124558
