gene,gene_id,mean_abs_shap
SPRY2,ENSG00000136158.12,0.013485327269620097
VEGFD,ENSG00000165197.5,0.012185552064156384
CD300LG,ENSG00000161649.13,0.011916015590672086
COL10A1,ENSG00000123500.10,0.010848316554873248
MMP11,ENSG00000099953.10,0.010636427558358679
MAMDC2,ENSG00000165072.10,0.010292941166590696
ITIH5,ENSG00000123243.15,0.008899622971784713
BTNL9,ENSG00000165810.17,0.00878157539595537
HOXA5,ENSG00000106004.5,0.008156019357260949
CAVIN2,ENSG00000168497.5,0.00794466096483153
CAV1,ENSG00000105974.13,0.007913035250289925
MME,ENSG00000196549.12,0.007319946913994495
ADAMTS5,ENSG00000154736.6,0.0072496407242187534
FMO2,ENSG00000094963.14,0.007033799005007019
ITM2A,ENSG00000078596.11,0.006994139907910262
CA4,ENSG00000167434.10,0.00651113761789774
CRYAB,ENSG00000109846.9,0.006400324793128582
SCARA5,ENSG00000168079.17,0.006062405652282275
MATN2,ENSG00000132561.14,0.005975830852820111
CAV2,ENSG00000105971.15,0.005734469476454288
LMOD1,ENSG00000163431.13,0.005698906593478712
INHBA,ENSG00000122641.11,0.005332339610587002
IBSP,ENSG00000029559.7,0.005103355619936409
RERGL,ENSG00000111404.7,0.004990003207949266
ANXA1,ENSG00000135046.14,0.004617484591844716
DMD,ENSG00000198947.16,0.00451254760319076
S100B,ENSG00000160307.10,0.004316570058832304
RNF150,ENSG00000170153.11,0.00425616923678696
UBE2C,ENSG00000175063.17,0.004212075245359326
HJURP,ENSG00000123485.12,0.00412139332669643
PLA2G4A,ENSG00000116711.10,0.004085854326739
ADRB2,ENSG00000169252.6,0.003921574215390564
CCN4,ENSG00000104415.14,0.003898736995639986
PAMR1,ENSG00000149090.12,0.003875022620980085
CILP2,ENSG00000160161.9,0.0038119364085485025
VIT,ENSG00000205221.12,0.003742868319981237
ASF1B,ENSG00000105011.9,0.003727564806711173
COMP,ENSG00000105664.11,0.0037130028998950105
NEK2,ENSG00000117650.13,0.0036651264573563792
PPP1R14A,ENSG00000167641.11,0.00362749491060954
UBE2T,ENSG00000077152.11,0.003557226395049306
APCDD1,ENSG00000154856.13,0.003524824035682548
SCN4B,ENSG00000177098.9,0.0035247617884549966
SH3BGRL2,ENSG00000198478.8,0.0033871779033352034
CHL1,ENSG00000134121.10,0.003299116150998112
GJB2,ENSG00000165474.8,0.0030819549494597903
TNS1,ENSG00000079308.19,0.0030410841403639005
PKMYT1,ENSG00000127564.17,0.0029498114161679327
FAXDC2,ENSG00000170271.11,0.002916967154727141
ENPP2,ENSG00000136960.13,0.002912213050615621
MSRB3,ENSG00000174099.12,0.0028804620473191263
MYH11,ENSG00000133392.18,0.002875315225397144
PLPP4,ENSG00000203805.11,0.0028382762560740598
HLF,ENSG00000108924.14,0.00281477502045931
GPIHBP1,ENSG00000277494.2,0.0027758346126518984
PALMD,ENSG00000099260.11,0.002754414802086701
LIFR,ENSG00000113594.10,0.0026835850419004424
BGN,ENSG00000182492.16,0.002584122975717422
LRRC15,ENSG00000172061.9,0.002330622556023069
IL33,ENSG00000137033.11,0.0022742750001495367
NTRK2,ENSG00000148053.17,0.0022510306203781696
EPYC,ENSG00000083782.8,0.0022217584756866896
MATN3,ENSG00000132031.13,0.002200718045883814
CEP55,ENSG00000138180.16,0.002167068277321679
TSHZ2,ENSG00000182463.16,0.0021359354694051678
ATP1A2,ENSG00000018625.15,0.0021129720143401583
KIF4A,ENSG00000090889.12,0.002075019329043498
MMP13,ENSG00000137745.12,0.002056221809665157
MEOX2,ENSG00000106511.6,0.002054479700549609
PDE2A,ENSG00000186642.16,0.002045459519742458
EGFR,ENSG00000146648.19,0.0020242973658448986
C9orf116,ENSG00000160345.13,0.002000112152438816
CDCA8,ENSG00000134690.11,0.0019995671964474432
LEPR,ENSG00000116678.20,0.0019719548592259544
MFAP2,ENSG00000117122.14,0.001968377801805899
TGFBR3,ENSG00000069702.11,0.001907501624401362
COL11A1,ENSG00000060718.22,0.0019034581459822894
FGF2,ENSG00000138685.17,0.0018323579769926085
IQGAP3,ENSG00000183856.11,0.0018058625119400128
PTTG1,ENSG00000164611.13,0.0017974516182424967
SLC44A4,ENSG00000204385.13,0.0017840389005918248
MYOC,ENSG00000034971.17,0.0017318297810650796
NDC80,ENSG00000080986.13,0.0017305782932298315
SPARCL1,ENSG00000152583.12,0.0017245608669554725
PLK1,ENSG00000166851.15,0.0017067106099905884
PGM5,ENSG00000154330.13,0.001697909464938356
CCL11,ENSG00000172156.4,0.0016938354715950509
TMTC1,ENSG00000133687.16,0.0016757028421137254
HOXC13,ENSG00000123364.5,0.0016612046699811742
IGFBP6,ENSG00000167779.9,0.0016444456752237769
TGFBR2,ENSG00000163513.19,0.0015905302731345577
ECRG4,ENSG00000119147.10,0.001572608293743617
HAGHL,ENSG00000103253.19,0.0015614348286111823
NDRG2,ENSG00000165795.23,0.0015602775110683453
LAMP5,ENSG00000125869.10,0.001555229369856618
ALDOC,ENSG00000109107.14,0.0015444144056733099
CREB3L1,ENSG00000157613.11,0.0015148474123551515
TSPAN7,ENSG00000156298.13,0.0014450643174682449
NUF2,ENSG00000143228.13,0.001431942051985848
AURKA,ENSG00000087586.18,0.0013651110724435885
LYVE1,ENSG00000133800.9,0.001352565592298512
TNMD,ENSG00000000005.6,0.00134355857889485
PRR36,ENSG00000183248.12,0.0013354308654149108
CDK1,ENSG00000170312.16,0.0013343457223869927
TROAP,ENSG00000135451.13,0.0013166825837405238
GPC3,ENSG00000147257.15,0.001311321932700338
CD36,ENSG00000135218.19,0.0013089302472538192
ZBTB16,ENSG00000109906.14,0.0013052330034258703
TPX2,ENSG00000088325.16,0.00124330016330636
